tipo_grafo,tipo_dsu,n_vertices,n_arestas,repeticao,tempo_ms,custo_mst,operacoes_find,operacoes_union,total_operacoes,total_acessos,tempo_ns
conexo,naive,100,500,1,1.480,1153,558,99,657,2824,1479900
conexo,naive,100,500,2,0.438,1153,558,99,657,2824,438100
conexo,naive,100,500,3,0.430,1153,558,99,657,2824,430100
conexo,rank,100,500,1,0.395,1153,558,99,657,873,395000
conexo,rank,100,500,2,0.333,1153,558,99,657,873,333100
conexo,rank,100,500,3,0.324,1153,558,99,657,873,323500
conexo,tarjan,100,500,1,0.408,1153,918,99,1017,1047,408400
conexo,tarjan,100,500,2,0.283,1153,918,99,1017,1047,282700
conexo,tarjan,100,500,3,0.252,1153,918,99,1017,1047,252000
desconexo,naive,100,500,1,0.743,1127,1196,98,1294,6609,742700
desconexo,naive,100,500,2,0.306,1127,1196,98,1294,6609,305700
desconexo,naive,100,500,3,0.290,1127,1196,98,1294,6609,290300
desconexo,rank,100,500,1,0.386,1127,1196,98,1294,1980,386100
desconexo,rank,100,500,2,0.303,1127,1196,98,1294,1980,302900
desconexo,rank,100,500,3,0.321,1127,1196,98,1294,1980,320500
desconexo,tarjan,100,500,1,0.401,1127,2206,98,2304,2357,401000
desconexo,tarjan,100,500,2,0.364,1127,2206,98,2304,2357,364000
desconexo,tarjan,100,500,3,0.328,1127,2206,98,2304,2357,328200
conexo,naive,500,2500,1,1.019,6518,3714,499,4213,123772,1019000
conexo,naive,500,2500,2,1.238,6518,3714,499,4213,123772,1238300
conexo,naive,500,2500,3,0.803,6518,3714,499,4213,123772,803000
conexo,rank,500,2500,1,0.650,6518,3714,499,4213,5910,649900
conexo,rank,500,2500,2,1.081,6518,3714,499,4213,5910,1080600
conexo,rank,500,2500,3,0.826,6518,3714,499,4213,5910,825500
conexo,tarjan,500,2500,1,0.829,6518,6545,499,7044,7307,828500
conexo,tarjan,500,2500,2,0.665,6518,6545,499,7044,7307,665400
conexo,tarjan,500,2500,3,0.639,6518,6545,499,7044,7307,639100
desconexo,naive,500,2500,1,1.564,6440,5996,498,6494,130498,1564300
desconexo,naive,500,2500,2,1.133,6440,5996,498,6494,130498,1132800
desconexo,naive,500,2500,3,0.943,6440,5996,498,6494,130498,942500
desconexo,rank,500,2500,1,0.863,6440,5996,498,6494,10460,863100
desconexo,rank,500,2500,2,0.793,6440,5996,498,6494,10460,792700
desconexo,rank,500,2500,3,0.817,6440,5996,498,6494,10460,817400
desconexo,tarjan,500,2500,1,1.261,6440,11110,498,11608,11884,1260900
desconexo,tarjan,500,2500,2,0.901,6440,11110,498,11608,11884,901200
desconexo,tarjan,500,2500,3,0.754,6440,11110,498,11608,11884,754400
conexo,naive,1000,5000,1,3.003,12093,10034,999,11033,686788,3002900
conexo,naive,1000,5000,2,2.820,12093,10034,999,11033,686788,2820200
conexo,naive,1000,5000,3,2.594,12093,10034,999,11033,686788,2593500
conexo,rank,1000,5000,1,1.591,12093,10034,999,11033,18838,1591400
conexo,rank,1000,5000,2,1.827,12093,10034,999,11033,18838,1826600
conexo,rank,1000,5000,3,1.904,12093,10034,999,11033,18838,1904400
conexo,tarjan,1000,5000,1,2.023,12093,18382,999,19381,20013,2022500
conexo,tarjan,1000,5000,2,1.240,12093,18382,999,19381,20013,1240000
conexo,tarjan,1000,5000,3,1.249,12093,18382,999,19381,20013,1248700
desconexo,naive,1000,5000,1,1.883,11653,11996,998,12994,487339,1883000
desconexo,naive,1000,5000,2,2.327,11653,11996,998,12994,487339,2326500
desconexo,naive,1000,5000,3,1.797,11653,11996,998,12994,487339,1796500
desconexo,rank,1000,5000,1,1.552,11653,11996,998,12994,21903,1551500
desconexo,rank,1000,5000,2,1.333,11653,11996,998,12994,21903,1333200
desconexo,rank,1000,5000,3,1.546,11653,11996,998,12994,21903,1545600
desconexo,tarjan,1000,5000,1,1.307,11653,22281,998,23279,23882,1306500
desconexo,tarjan,1000,5000,2,1.234,11653,22281,998,23279,23882,1233900
desconexo,tarjan,1000,5000,3,1.370,11653,22281,998,23279,23882,1370100
conexo,naive,2000,10000,1,6.757,24476,18728,1999,20727,2723878,6756800
conexo,naive,2000,10000,2,5.858,24476,18728,1999,20727,2723878,5857500
conexo,naive,2000,10000,3,6.297,24476,18728,1999,20727,2723878,6296600
conexo,rank,2000,10000,1,3.031,24476,18728,1999,20727,35919,3030800
conexo,rank,2000,10000,2,2.755,24476,18728,1999,20727,35919,2754900
conexo,rank,2000,10000,3,3.103,24476,18728,1999,20727,35919,3103200
conexo,tarjan,2000,10000,1,3.374,24476,34129,1999,36128,37433,3374200
conexo,tarjan,2000,10000,2,3.935,24476,34129,1999,36128,37433,3934800
conexo,tarjan,2000,10000,3,2.681,24476,34129,1999,36128,37433,2681200
desconexo,naive,2000,10000,1,6.920,25048,23996,1998,25994,2102479,6919600
desconexo,naive,2000,10000,2,9.063,25048,23996,1998,25994,2102479,9063000
desconexo,naive,2000,10000,3,6.615,25048,23996,1998,25994,2102479,6615300
desconexo,rank,2000,10000,1,3.553,25048,23996,1998,25994,42588,3553000
desconexo,rank,2000,10000,2,2.860,25048,23996,1998,25994,42588,2859800
desconexo,rank,2000,10000,3,3.119,25048,23996,1998,25994,42588,3118800
desconexo,tarjan,2000,10000,1,3.167,25048,44473,1998,46471,47571,3167000
desconexo,tarjan,2000,10000,2,3.388,25048,44473,1998,46471,47571,3387800
desconexo,tarjan,2000,10000,3,2.508,25048,44473,1998,46471,47571,2507600
conexo,naive,5000,25000,1,28.752,61990,53058,4999,58057,20698536,28751800
conexo,naive,5000,25000,2,29.128,61990,53058,4999,58057,20698536,29127500
conexo,naive,5000,25000,3,26.443,61990,53058,4999,58057,20698536,26443100
conexo,rank,5000,25000,1,2.703,61990,53058,4999,58057,105155,2703300
conexo,rank,5000,25000,2,2.612,61990,53058,4999,58057,105155,2611800
conexo,rank,5000,25000,3,2.539,61990,53058,4999,58057,105155,2538900
conexo,tarjan,5000,25000,1,2.352,61990,97878,4999,102877,106204,2352400
conexo,tarjan,5000,25000,2,2.357,61990,97878,4999,102877,106204,2357400
conexo,tarjan,5000,25000,3,2.331,61990,97878,4999,102877,106204,2330700
desconexo,naive,5000,25000,1,22.622,62437,59996,4998,64994,12717684,22621600
desconexo,naive,5000,25000,2,23.417,62437,59996,4998,64994,12717684,23416600
desconexo,naive,5000,25000,3,20.884,62437,59996,4998,64994,12717684,20884200
desconexo,rank,5000,25000,1,3.480,62437,59996,4998,64994,113052,3480400
desconexo,rank,5000,25000,2,2.831,62437,59996,4998,64994,113052,2830900
desconexo,rank,5000,25000,3,2.950,62437,59996,4998,64994,113052,2949500
desconexo,tarjan,5000,25000,1,3.005,62437,111412,4998,116410,119375,3004900
desconexo,tarjan,5000,25000,2,3.878,62437,111412,4998,116410,119375,3877900
desconexo,tarjan,5000,25000,3,4.410,62437,111412,4998,116410,119375,4410000
conexo,naive,10000,50000,1,132.000,124945,106078,9999,116077,82907228,131999600
conexo,naive,10000,50000,2,128.806,124945,106078,9999,116077,82907228,128805900
conexo,naive,10000,50000,3,128.979,124945,106078,9999,116077,82907228,128978900
conexo,rank,10000,50000,1,6.622,124945,106078,9999,116077,199627,6622400
conexo,rank,10000,50000,2,6.411,124945,106078,9999,116077,199627,6411200
conexo,rank,10000,50000,3,6.081,124945,106078,9999,116077,199627,6080500
conexo,tarjan,10000,50000,1,6.039,124945,195514,9999,205513,211992,6038500
conexo,tarjan,10000,50000,2,5.350,124945,195514,9999,205513,211992,5350400
conexo,tarjan,10000,50000,3,5.285,124945,195514,9999,205513,211992,5285400
desconexo,naive,10000,50000,1,66.289,125793,119994,9997,129991,47994358,66288900
desconexo,naive,10000,50000,2,65.412,125793,119994,9997,129991,47994358,65412200
desconexo,naive,10000,50000,3,64.860,125793,119994,9997,129991,47994358,64860100
desconexo,rank,10000,50000,1,5.473,125793,119994,9997,129991,228953,5472600
desconexo,rank,10000,50000,2,5.394,125793,119994,9997,129991,228953,5394000
desconexo,rank,10000,50000,3,5.596,125793,119994,9997,129991,228953,5595500
desconexo,tarjan,10000,50000,1,4.801,125793,222991,9997,232988,239064,4800500
desconexo,tarjan,10000,50000,2,4.834,125793,222991,9997,232988,239064,4834100
desconexo,tarjan,10000,50000,3,4.947,125793,222991,9997,232988,239064,4946600
