cenario,tipo_dsu,n,num_unions,num_finds,repeticao,tempo_ms,operacoes_find,operacoes_union,total_operacoes,total_acessos,tempo_ns
cadeia_find0,naive,100,99,2000,1,1.121,2198,99,2297,198099,1121300
cadeia_find0,naive,100,99,2000,2,0.995,2198,99,2297,198099,995400
cadeia_find0,naive,100,99,2000,3,0.316,2198,99,2297,198099,316200
cadeia_find0,rank,100,99,2000,1,0.215,2198,99,2297,2395,214900
cadeia_find0,rank,100,99,2000,2,0.110,2198,99,2297,2395,109800
cadeia_find0,rank,100,99,2000,3,0.116,2198,99,2297,2395,116400
cadeia_find0,tarjan,100,99,2000,1,0.315,4295,99,4394,4492,315200
cadeia_find0,tarjan,100,99,2000,2,0.106,4295,99,4394,4492,105500
cadeia_find0,tarjan,100,99,2000,3,0.148,4295,99,4394,4492,148400
cadeia_find0,naive,250,249,2000,1,0.645,2498,249,2747,498249,645000
cadeia_find0,naive,250,249,2000,2,0.653,2498,249,2747,498249,652500
cadeia_find0,naive,250,249,2000,3,0.629,2498,249,2747,498249,629100
cadeia_find0,rank,250,249,2000,1,0.078,2498,249,2747,2995,77800
cadeia_find0,rank,250,249,2000,2,0.053,2498,249,2747,2995,53400
cadeia_find0,rank,250,249,2000,3,0.059,2498,249,2747,2995,59400
cadeia_find0,tarjan,250,249,2000,1,0.073,4745,249,4994,5242,73000
cadeia_find0,tarjan,250,249,2000,2,0.070,4745,249,4994,5242,69800
cadeia_find0,tarjan,250,249,2000,3,0.053,4745,249,4994,5242,53400
cadeia_find0,naive,500,499,2000,1,1.209,2998,499,3497,998499,1208500
cadeia_find0,naive,500,499,2000,2,1.199,2998,499,3497,998499,1198600
cadeia_find0,naive,500,499,2000,3,1.230,2998,499,3497,998499,1229900
cadeia_find0,rank,500,499,2000,1,0.087,2998,499,3497,3995,87000
cadeia_find0,rank,500,499,2000,2,0.071,2998,499,3497,3995,70500
cadeia_find0,rank,500,499,2000,3,0.067,2998,499,3497,3995,66900
cadeia_find0,tarjan,500,499,2000,1,0.070,5495,499,5994,6492,69800
cadeia_find0,tarjan,500,499,2000,2,0.072,5495,499,5994,6492,71500
cadeia_find0,tarjan,500,499,2000,3,0.071,5495,499,5994,6492,71000
cadeia_find0,naive,1000,999,2000,1,2.411,3998,999,4997,1998999,2411200
cadeia_find0,naive,1000,999,2000,2,2.370,3998,999,4997,1998999,2370000
cadeia_find0,naive,1000,999,2000,3,2.333,3998,999,4997,1998999,2333000
cadeia_find0,rank,1000,999,2000,1,0.029,3998,999,4997,5995,28500
cadeia_find0,rank,1000,999,2000,2,0.022,3998,999,4997,5995,22200
cadeia_find0,rank,1000,999,2000,3,0.046,3998,999,4997,5995,45700
cadeia_find0,tarjan,1000,999,2000,1,0.037,6995,999,7994,8992,36600
cadeia_find0,tarjan,1000,999,2000,2,0.026,6995,999,7994,8992,26400
cadeia_find0,tarjan,1000,999,2000,3,0.030,6995,999,7994,8992,30000
cadeia_find0,naive,2000,1999,2000,1,4.587,5998,1999,7997,3999999,4587400
cadeia_find0,naive,2000,1999,2000,2,4.590,5998,1999,7997,3999999,4590300
cadeia_find0,naive,2000,1999,2000,3,4.591,5998,1999,7997,3999999,4591300
cadeia_find0,rank,2000,1999,2000,1,0.067,5998,1999,7997,9995,66500
cadeia_find0,rank,2000,1999,2000,2,0.020,5998,1999,7997,9995,20100
cadeia_find0,rank,2000,1999,2000,3,0.020,5998,1999,7997,9995,19700
cadeia_find0,tarjan,2000,1999,2000,1,0.029,9995,1999,11994,13992,28700
cadeia_find0,tarjan,2000,1999,2000,2,0.024,9995,1999,11994,13992,24100
cadeia_find0,tarjan,2000,1999,2000,3,0.025,9995,1999,11994,13992,24500
cadeia_find0,naive,4000,3999,2000,1,9.189,9998,3999,13997,8001999,9189400
cadeia_find0,naive,4000,3999,2000,2,9.117,9998,3999,13997,8001999,9116700
cadeia_find0,naive,4000,3999,2000,3,9.182,9998,3999,13997,8001999,9181500
cadeia_find0,rank,4000,3999,2000,1,0.034,9998,3999,13997,17995,33600
cadeia_find0,rank,4000,3999,2000,2,0.089,9998,3999,13997,17995,88600
cadeia_find0,rank,4000,3999,2000,3,0.024,9998,3999,13997,17995,23800
cadeia_find0,tarjan,4000,3999,2000,1,0.038,15995,3999,19994,23992,38400
cadeia_find0,tarjan,4000,3999,2000,2,0.039,15995,3999,19994,23992,39300
cadeia_find0,tarjan,4000,3999,2000,3,0.038,15995,3999,19994,23992,38300
cadeia_find0,naive,8000,7999,2000,1,18.378,17998,7999,25997,16005999,18378200
cadeia_find0,naive,8000,7999,2000,2,18.368,17998,7999,25997,16005999,18367600
cadeia_find0,naive,8000,7999,2000,3,18.180,17998,7999,25997,16005999,18180400
cadeia_find0,rank,8000,7999,2000,1,0.086,17998,7999,25997,33995,85900
cadeia_find0,rank,8000,7999,2000,2,0.048,17998,7999,25997,33995,48000
cadeia_find0,rank,8000,7999,2000,3,0.049,17998,7999,25997,33995,48600
cadeia_find0,tarjan,8000,7999,2000,1,0.073,27995,7999,35994,43992,73300
cadeia_find0,tarjan,8000,7999,2000,2,0.054,27995,7999,35994,43992,54100
cadeia_find0,tarjan,8000,7999,2000,3,0.046,27995,7999,35994,43992,46400
cadeia_find0,naive,10000,9999,2000,1,22.901,21998,9999,31997,20007999,22901200
cadeia_find0,naive,10000,9999,2000,2,22.780,21998,9999,31997,20007999,22779500
cadeia_find0,naive,10000,9999,2000,3,22.734,21998,9999,31997,20007999,22734200
cadeia_find0,rank,10000,9999,2000,1,0.118,21998,9999,31997,41995,118100
cadeia_find0,rank,10000,9999,2000,2,0.049,21998,9999,31997,41995,49400
cadeia_find0,rank,10000,9999,2000,3,0.057,21998,9999,31997,41995,57000
cadeia_find0,tarjan,10000,9999,2000,1,0.087,33995,9999,43994,53992,87200
cadeia_find0,tarjan,10000,9999,2000,2,0.056,33995,9999,43994,53992,56300
cadeia_find0,tarjan,10000,9999,2000,3,0.056,33995,9999,43994,53992,55900
